LOC100507002	60527391	60537674
GPNMB	23252840	23281254
PRR5L	36379122	36443330
HLA-F-AS1	1147069	1169508
TIMM17A	200191241	200206412
MIR4775	208327775	208327850
ST7-AS2	116539581	116572882
PTBP2	96960781	97053193
MRGBP	60898249	60902390
ARHGAP24	86918874	87142847
ETFB	56540220	56561484
RP1L1	10501269	10550027
CD14	139991496	139993470
SDK2	68842117	69151822
MIR619	107754812	107754911
TPD52L2	61967024	61993342
MSH5-SAPCD1	31815703	31840603
EXOC3L4	102636233	102646647
FOXG1-AS1	28264198	28304276
EPB41L1	34142839	34284135
TECTA	120478584	120566725
PDE8A	83326208	83483376
MIR6870	10578283	10578343
ELF5	34456917	34491923
TNP1	217432426	217433027
ZNF703	37672426	37676697
DEFB106A	7327435	7331319
LOC727751	80741804	80773313
MECOM	170283980	170348216
SNORD127	44649827	44649926
KPNA2	63462309	63473432
LIMD1-AS1	45694660	45705378
FAM53A	1611604	1655516
TAPT1-AS1	15837383	15868908
PPP1R27	77384656	77386215
SPAG9	46394533	46553225
BAIAP2L1	97758897	97868363
LOC100286922	234327700	234328730
CADPS	62359060	62836104
LINC00658	5360602	5374394
SLC44A4	31938948	31954802
LOC374443	9691909	9702277
CPSF3L	1236827	1249930
ACTBL2	56811599	56814393
DDX26B-AS1	134481673	134482265
SIN3B	16835084	16852164
STMN3	61741501	61754563
PPM1K	89397784	89425007
ATP6V0E2	149200989	149208734
NDRG2	20554761	20563775
PRDM1	106640887	106664507
PNLDC1	160141270	160161726
BZRAP1-AS1	53769561	53786087
GAB1	144477432	144615168
CD247	165666500	165754471
COLEC11	3620296	3670109
CHCHD6	127905752	128161953
NCR3	2804639	2808349
BRINP2	175407255	175518181
PSMD2	185499579	185509536
KLHDC4	86298918	86357099
LINC01135	59023410	59137972
HDHD3	115175516	115178162
RPS6KB1	55325188	55382568
CTNND1	57285809	57343228
WASH7P	4224	19233
PAXBP1-AS1	33022295	33037304
MIR5692C2	99344964	99344985
ODC1	10497947	10506131
WDR45B	78165726	78199700
GATA3-AS1	8134211	8135391
ST20	77978236	78003151
PPIL6	109818110	109869067
GTF2H2C_2	69746976	69779263
DAPK1	89302415	89513369
HSD17B13	88443964	88463082
ARL11	49100435	49106009
ZNF212	148567674	148583633
GRAP2	38652540	38699292
PHPT1	138863088	138865316
MIER3	56251185	56283714
TKT	53233762	53265170
NPIPA7	18319276	18334020
LOC101927623	87932274	87961807
PRKD2	51869412	51912224
ZACN	71586857	71590480
PLAC8	84234330	84254935
MAP2K2	4041319	4075126
SV2A	148141495	148156058
NOS1	116130329	116227240
CCDC63	109769146	109829722
ARPIN	88240767	88256923
CHRM4	46363215	46364683
DPCR1	2357196	2370408
PLA2G2A	20174510	20178739
HNF4A-AS1	42439796	42457760
SMARCE1	36037505	36057629
BIRC5	73721871	73733311
ZNF547	62566614	62582737
SNAR-A6	55307436	55307557
TMEM126B	85017264	85025231
DNAJC30	72733183	72735717
LOC100507250	67354417	67366906
CUZD1	124581660	124595681
MRPL53	74552592	74553450
FIGNL1	50479320	50485582
MIR8058	81280036	81280125
LOC101928283	124611858	124806611
MAST1	12810258	12846766
BTBD11	106498763	106577549
KCNJ9	158317983	158325836
POLR3K	36978	43632
GAGE12E	49202835	49210196
SLC16A7	58369384	58469902
DMD	31047265	31194945
STX8	9094512	9420000
PTPN2	12782300	12874334
RAET1E-AS1	150226326	150282337
NAE1	65394281	65422380
PDCD2	170732759	170735705
PRDM10	129274810	129322727
MIRLET7D	95980936	95981023
KLRAP1	10632343	10643701
LDLRAD3	35922106	36210262
TEKT4	94900904	94906301
C4B	32057812	32078436
SH3RF3	109112428	109619495
LINC00189	29487685	29582397
BDH1	198721050	198767255
PTPRG-AS1	62222533	62279662
TRAPPC2	13640281	13662675
RBM26	78791003	78878357
TUBBP5	140164385	140191706
EIF5B	99320265	99383160
LINC01571	50353930	50364058
ASAP1	131133532	131525088
PPAP2C	232039	242169
OR13C5	106400558	106401515
SCHIP1	161040343	161097849
EEF1A2	61589808	61601112
MIR422A	61950181	61950271
C7orf69	47801413	47825969
LOC101928069	65997536	66004296
DENND1C	6418214	6432819
CBLL1	107171377	107189348
XYLT2	45778391	45793545
PCYOX1L	148717762	148729414
PLSCR2	147633764	147669778
GRIK1-AS2	29890230	29924938
SNORD126	19864439	19864538
PRAMEF11	12807204	12813851
PCDH11X	90977115	91764884
EVX2	176653080	176656936
NAT6	50308836	50311324
MIR3126	69184317	69184391
RNF146	127629675	127651398
KSR1	22823162	22974845
CNTN5	98396915	99734826
LOC100507477	140339148	140456551
NRXN2	64130221	64247236
PRDX3	120917200	120928367
CCT7	73314871	73333658
RABEPK	127002641	127036259
C9orf43	115212809	115231785
LHPP	126140330	126292700
TTTY3	26284024	26288923
NKD2	1062076	1091927
METTL21A	208182083	208197941
B3GNT6	76423032	76430653
LOC101928381	66662786	66673649
DCD	53324641	53328544
ITPR2	26379551	26877398
RNU2-2P	98004808	98043760
KRTAP26-1	30613320	30614478
STARD4-AS1	110875822	111103322
ATAD2B	23825037	24003488
SEC61A1	129253901	129273216
HLA-F-AS1	949185	971636
AP2S1	52033254	52046092
GUCD1	23266390	23281903
LINC00521	93533368	93543651
RASGRP2	64250958	64268206
MIR4507	105395337	105395389
CMPK2	6898134	6923401
CPD	25731621	25820801
NT5C3A	33020249	33068934
RPL28	60589111	60590899
FRS2	68150395	68259838
PIGQ	559968	574137
MYO1C	1314229	1341722
ZNF564	12497183	12523356
MUC7	71330797	71383303
ACP2	47217428	47226974
BOD1	172966753	172976272
GRASP	50690542	50695940
APTX	32962603	32991610
OR52D1	5466490	5467554
TFPI2	93352644	93358239
LRP10	22410799	22417131
HMGCLL1	55484831	55551971
MED22	135197571	135204832
NEBL-AS1	21503236	21503858
PSD	104152363	104169681
ARL13A	100111352	100132476
FES	89229279	89240010
WRAP53	7531482	7547545
ISG15	938709	939782
SPATA33	88251652	88264367
MITF	70068440	70100178
MIR573	24130912	24131011
HOXD9	176695658	176697891
PSD	104152363	104169474
MIR517A	58907333	58907420
INTS7	210180363	210275625
TRIM16	15472004	15526918
STK25	242082794	242096783
CTDP1	75540788	75615498
PSPN	6326304	6326860
ELF5	34456917	34489922
U2AF1L4	40925267	40928183
PLAGL1	144303129	144371234
LGALS12	63030099	63040822
CD52	26516997	26519601
EGOT	4765877	4768274
EIF3J	42616557	42642293
EIF4G3	21005371	21375968
RANBP3	5867151	5929320
ABAT	8714326	8785933
LOC101928449	80871628	80911043
PELI3	65990911	66001384
CLEC18B	73000029	73012869
RIPPLY1	106029948	106033217
C20orf196	5679032	5793053
RBM39	33754944	33793672
ABCC4	94546025	94751701
NEK3	51604779	51631671
REPS2	16874734	17081324
DGKK	50125145	50230477
POLA2	64785898	64822732
FBLN5	91405507	91483799
AGPAT9	84676283	84746051
MSH5	3153840	3176548
TPX2	29790564	29853264
FLJ42102	70794439	70812048
IL6	22733290	22738146
GEMIN7	50274369	50286622
PCMTD1	52892687	52974299
TARS2	148726463	148746709
LAIR1	59557044	59568533
DPP10	115636153	116318796
SEC11C	54958104	54977043
USF2	40451735	40462558
CST9	23531046	23534610
FAM65A	66128865	66138192
PODNL1	13902999	13925204
EPS15L1	16333388	16443823
USP17L13	8935988	8937581
ZNF177	9347991	9354293
KIAA0430	15595726	15644524
CEP41	129820847	129868287
SCARNA20	55663658	55663788
LELP1	151442529	151444225
ARHGEF10L	17779634	17896957
LINC00507	126965907	127002050
FZD10-AS1	129202090	129212176
AMPD3	10439253	10485702
TYSND1	71567742	71576502
HACD1	17671963	17699379
MIR1226	47866048	47866123
PFDN6	4443563	4444901
RASA4	102007167	102044425
DOC2A	29924335	29929902
PAPOLG	60836868	60882725
LOC440982	148621803	148710387
SDAD1	77090082	77131139
YJEFN3	19500669	19509393
OTX1	63131440	63138470
LYSMD4	98085128	98091172
OSBPL9	51855133	52027479
CSGALNACT2	42953898	43000760
TAMM41	11806915	11863393
CTNND1	57285809	57343228
CCDC50	192529567	192599153
HSPA1A	31891269	31893698
NCOA5	44123032	44151987
LOC101928404	161398088	161449437
PRDM11	45072139	45203215
KCNC4	110554858	110578197
PPDPF	61622576	61623968
CACNB4	152397531	152663839
TAF1A	220797866	220829898
PRPF4B	3966567	4010216
RASSF8	26017954	26117074
ZNF155	49180161	49194317
AAGAB	65280066	65334590
MLLT6	34115398	34139582
LINC00303	202268197	202277015
COPB1	14435624	14477991
